customer_id,site_id,date,storage_bytes
1,site_1,2024-01-01,47203640
1,site_1,2024-01-02,53948107
1,site_1,2024-01-03,93169789
1,site_1,2024-01-04,85130748
1,site_1,2024-01-05,73759154
1,site_1,2024-01-06,5651964
1,site_1,2024-01-07,87099560
1,site_1,2024-01-08,89686216
1,site_1,2024-01-09,57296140
1,site_1,2024-01-10,3140235
1,site_1,2024-01-11,23783191
1,site_1,2024-01-12,72062934
1,site_1,2024-01-13,11232455
1,site_1,2024-01-14,51667649
1,site_1,2024-01-15,16256273
1,site_1,2024-01-16,67257158
1,site_1,2024-01-17,73478722
1,site_1,2024-01-18,91464489
1,site_1,2024-01-19,73790933
1,site_1,2024-01-20,64696459
1,site_1,2024-01-21,38536783
1,site_1,2024-01-22,31463759
1,site_1,2024-01-23,11268388
1,site_1,2024-01-24,17528449
1,site_1,2024-01-25,8658401
1,site_1,2024-01-26,55550034
1,site_1,2024-01-27,36556297
1,site_1,2024-01-28,1713777
1,site_1,2024-01-29,8988612
1,site_1,2024-01-30,81747294
1,site_1,2024-01-31,87480379
1,site_1,2024-02-01,94094691
1,site_1,2024-02-02,3556187
1,site_1,2024-02-03,36391946
1,site_1,2024-02-04,27513992
1,site_1,2024-02-05,86484142
1,site_1,2024-02-06,84056970
1,site_1,2024-02-07,21055244
1,site_1,2024-02-08,15389804
1,site_1,2024-02-09,24810014
1,site_1,2024-02-10,93700439
1,site_1,2024-02-11,78501486
1,site_1,2024-02-12,74405342
1,site_1,2024-02-13,43014572
1,site_1,2024-02-14,36549053
1,site_1,2024-02-15,46163837
1,site_1,2024-02-16,22683680
1,site_1,2024-02-17,50207914
1,site_1,2024-02-18,71198486
1,site_1,2024-02-19,30196789
1,site_1,2024-02-20,61511002
1,site_1,2024-02-21,43235235
1,site_1,2024-02-22,12556147
1,site_1,2024-02-23,28800703
1,site_1,2024-02-24,25255710
1,site_1,2024-02-25,61892982
1,site_1,2024-02-26,73232846
1,site_1,2024-02-27,71503764
1,site_1,2024-02-28,51478847
1,site_1,2024-02-29,36771313
1,site_1,2024-03-01,6564055
1,site_1,2024-03-02,71721802
1,site_1,2024-03-03,44527259
1,site_1,2024-03-04,33895607
1,site_1,2024-03-05,61285902
1,site_1,2024-03-06,96805223
1,site_1,2024-03-07,41454611
1,site_1,2024-03-08,53043757
1,site_1,2024-03-09,30750075
1,site_1,2024-03-10,27050393
1,site_1,2024-03-11,65264088
1,site_1,2024-03-12,88999909
1,site_1,2024-03-13,57041827
1,site_1,2024-03-14,37878419
1,site_1,2024-03-15,7463002
1,site_1,2024-03-16,48561862
1,site_1,2024-03-17,15677848
1,site_1,2024-03-18,80308961
1,site_1,2024-03-19,49478233
1,site_1,2024-03-20,86230071
1,site_1,2024-03-21,68176713
1,site_1,2024-03-22,58802940
1,site_1,2024-03-23,65128851
1,site_1,2024-03-24,84947514
1,site_1,2024-03-25,93320782
1,site_1,2024-03-26,8400479
1,site_1,2024-03-27,72244393
1,site_1,2024-03-28,36891760
1,site_1,2024-03-29,83867466
1,site_1,2024-03-30,11434322
1,site_1,2024-03-31,84430471
1,site_1,2024-04-01,52104141
1,site_1,2024-04-02,37599595
1,site_1,2024-04-03,74516844
1,site_1,2024-04-04,73163569
1,site_1,2024-04-05,24983083
1,site_1,2024-04-06,63177009
1,site_1,2024-04-07,26237423
1,site_1,2024-04-08,8402093
1,site_1,2024-04-09,10760555
1,site_1,2024-04-10,66620640
1,site_1,2024-04-11,22858394
1,site_1,2024-04-12,28880444
1,site_1,2024-04-13,44411090
1,site_1,2024-04-14,65061489
1,site_1,2024-04-15,83630331
1,site_1,2024-04-16,21187026
1,site_1,2024-04-17,8526801
1,site_1,2024-04-18,82059795
1,site_1,2024-04-19,76294413
1,site_1,2024-04-20,62193062
1,site_1,2024-04-21,42155108
1,site_1,2024-04-22,73445334
1,site_1,2024-04-23,51415917
1,site_1,2024-04-24,31872442
1,site_1,2024-04-25,7618842
1,site_1,2024-04-26,12609195
1,site_1,2024-04-27,50256794
1,site_1,2024-04-28,12437158
1,site_1,2024-04-29,69903193
1,site_1,2024-04-30,65096876
1,site_1,2024-05-01,99028355
1,site_1,2024-05-02,99110441
1,site_1,2024-05-03,24146818
1,site_1,2024-05-04,54263736
1,site_1,2024-05-05,23598650
1,site_1,2024-05-06,8509226
1,site_1,2024-05-07,38586598
1,site_1,2024-05-08,5191127
1,site_1,2024-05-09,30797934
1,site_1,2024-05-10,9362908
1,site_1,2024-05-11,48084469
1,site_1,2024-05-12,18487843
1,site_1,2024-05-13,81031946
1,site_1,2024-05-14,60732432
1,site_1,2024-05-15,89259564
1,site_1,2024-05-16,79448285
1,site_1,2024-05-17,49474846
1,site_1,2024-05-18,68582725
1,site_1,2024-05-19,78119933
1,site_1,2024-05-20,92550661
1,site_1,2024-05-21,77617316
1,site_1,2024-05-22,67871619
1,site_1,2024-05-23,46730707
1,site_1,2024-05-24,54036090
1,site_1,2024-05-25,79478090
1,site_1,2024-05-26,10321507
1,site_1,2024-05-27,86601555
1,site_1,2024-05-28,38237898
1,site_1,2024-05-29,43988294
1,site_1,2024-05-30,32371088
1,site_1,2024-05-31,65914083
1,site_1,2024-06-01,78157383
1,site_1,2024-06-02,21474893
1,site_1,2024-06-03,63920879
1,site_1,2024-06-04,73535709
1,site_1,2024-06-05,93789611
1,site_1,2024-06-06,14579607
1,site_1,2024-06-07,64376467
1,site_1,2024-06-08,22201859
1,site_1,2024-06-09,50101913
1,site_1,2024-06-10,42341346
1,site_1,2024-06-11,61385415
1,site_1,2024-06-12,68583571
1,site_1,2024-06-13,84741627
1,site_1,2024-06-14,91458347
1,site_1,2024-06-15,13754546
1,site_1,2024-06-16,11446362
1,site_1,2024-06-17,30389028
1,site_1,2024-06-18,83764957
1,site_1,2024-06-19,36791661
1,site_1,2024-06-20,31461176
1,site_1,2024-06-21,57831008
1,site_1,2024-06-22,12918429
1,site_1,2024-06-23,88601900
1,site_1,2024-06-24,70394279
1,site_1,2024-06-25,49114520
1,site_1,2024-06-26,7282109
1,site_1,2024-06-27,66244363
1,site_1,2024-06-28,60280622
1,site_1,2024-06-29,74386523
1,site_1,2024-06-30,93847873
1,site_1,2024-07-01,33040949
1,site_1,2024-07-02,23854207
1,site_1,2024-07-03,22270202
1,site_1,2024-07-04,98194760
1,site_1,2024-07-05,97236581
1,site_1,2024-07-06,38699506
1,site_1,2024-07-07,86895788
1,site_1,2024-07-08,31212006
1,site_1,2024-07-09,12738799
1,site_1,2024-07-10,74096980
1,site_1,2024-07-11,42322169
1,site_1,2024-07-12,93282831
1,site_1,2024-07-13,51976650
1,site_1,2024-07-14,77489638
1,site_1,2024-07-15,90868962
1,site_1,2024-07-16,71289634
1,site_1,2024-07-17,33772167
1,site_1,2024-07-18,30449594
1,site_1,2024-07-19,52820502
1,site_1,2024-07-20,17021252
1,site_1,2024-07-21,51278834
1,site_1,2024-07-22,81104889
1,site_1,2024-07-23,22772095
1,site_1,2024-07-24,89886582
1,site_1,2024-07-25,21466975
1,site_1,2024-07-26,56991844
1,site_1,2024-07-27,13390315
1,site_1,2024-07-28,47697957
1,site_1,2024-07-29,79646276
1,site_1,2024-07-30,36878800
1,site_1,2024-07-31,11611628
1,site_1,2024-08-01,97284810
